title,category,venue_name,venue_map_url,price_text,tickets_url,detail_url,description,duration_minutes,price_min,price_max,venue_lat,venue_lng,date,time,language,id,price_currency
Ateljeebesoeke: Zonia Scheffer,,,,,https://www.quicket.co.za/events/320462-ateljeebesoeke-zonia-schiffer/?preview=t,https://woordfees.co.za/program/ateljeebesoeke-zonia-schiffer/,,,,,,,,,AFR,ateljeebesoeke-zonia-scheffer,
B(l)ind the Sacrifice,,,,,,https://woordfees.co.za/program/blind-the-sacrifice/,,,,,,,,,AFR,blind-the-sacrifice,
Bacchus tot Bekker,,,,,https://www.quicket.co.za/events/318504-bacchus-tot-bekker/?preview=t,https://woordfees.co.za/program/bacchus-tot-bekker/,,,,,,,,,AFR,bacchus-tot-bekker,
Bach to Bolling,,,,,https://www.quicket.co.za/events/318585-bach-to-bolling/?preview=t,https://woordfees.co.za/program/bach-to-bolling/,,,,,,,,,AFR,bach-to-bolling,
Baljaar: SA Hits,,,,,https://www.quicket.co.za/events/318599-baljaar-sa-hits/?preview=t,https://woordfees.co.za/program/baljaar-sa-hits/,,,,,,,,,AFR,baljaar-sa-hits,
Beeld: Die laaste dae,,,,,https://www.quicket.co.za/events/319623-beeld-die-laaste-dae/?preview=t,https://woordfees.co.za/program/beeld-die-laaste-dae/,,,,,,,,,AFR,beeld-die-laaste-dae,
Beethoven Triple Concerto,,,,,https://www.quicket.co.za/events/318589-beethoven-triple-concerto/?preview=t,https://woordfees.co.za/program/beethoven-triple-concerto/,,,,,,,,,AFR,beethoven-triple-concerto,
Before we get too cozy,,,,,https://www.quicket.co.za/events/319624-before-it-gets-too-cozy/?preview=t,https://woordfees.co.za/program/before-we-get-too-cozy/,,,,,,,,,AFR,before-we-get-too-cozy,
Behind prison walls,,,,,https://www.quicket.co.za/events/319627-behind-prison-walls/?preview=t,https://woordfees.co.za/program/behind-prison-walls/,,,,,,,,,AFR,behind-prison-walls,
Bergie,,,,,,https://woordfees.co.za/program/bergie/,,,,,,,,,AFR,bergie,
Beurk!,,,,,,https://woordfees.co.za/program/beurk/,,,,,,,,,AFR,beurk,
Beyond: A Fantasy Cirque Experience,,,,,https://www.quicket.co.za/events/318574-beyond/?preview=t,https://woordfees.co.za/program/beyond-a-fantasy-cirque-experience/,,,,,,,,,AFR,beyond-a-fantasy-cirque-experience,
Bitterkomix: Sketchbooks and Journals,,,,,https://www.quicket.co.za/events/319633-bitterkomix-sketchbooks-and-journals/?preview=t,https://woordfees.co.za/program/bitterkomix-sketchbooks-andjournals/,,,,,,,,,AFR,bitterkomix-sketchbooks-and-journals,
Blydskap: ’n Slypskool,,,,,https://www.quicket.co.za/events/320484-blydskap-n-slypskool/?preview=t,https://woordfees.co.za/program/blydskap-n-slypskool/,,,,,,,,,AFR,blydskap-n-slypskool,
Boek-deel,,,,,,https://woordfees.co.za/program/boek-deel/,,,,,,,,,AFR,boek-deel,
